Bernier_2014_Faraday,"Bernier, C. R., Petrov, A. S., Waterbury, C. C., Jett, J., Li, F., Freil, L. E., Xiong, X., Wang, L., Migliozzi, B. L. R., Hershkovits, E., Xue, Y., Hsiao, C., Bowman, J. C., Harvey, S. C., Grover, M. A., Wartell, Z. J., and Williams, L. D. (2014). FD169: RiboVision Suite for Visualization and Analysis of Ribosomes. <i>Faraday Discussions</i>, 169(1), 195-207. [<atarget=""blank""href=""http://pubs.rsc.org/en/Content/ArticleLanding/2014/FD/C3FD00126A#!divAbstract"">Full Article</a>]"
Petrov_2013_NAR,"Petrov et al., (2013) ""Secondary Structure and Domain Architecture of the 23S rRNA and 5S rRNAs"", <i>Nucleic Acids Res.</i> doi: 10.1093/nar/gkt513  "
Woese_1980_NAR,"Woese C R, Magrum L J, Gupta R, Siegel R B, Stahl D A, Kop J, Crawford N, Brosius J, Gutell R, Hogan J J and Noller H F 1980 <i>Nucleic Acids Res.</i> <b>8</b> 2275<br><br>"
Noller_1981_NAR,"Noller H F, Kop J, Wheaton V, Brosius J, Gutell R R, Kopylov A M, Dohme F, Herr W, Stahl D A, Gupta R and Woese C R 1981 <i>Nucleic Acids Res.</i><b>9</b> 6167<br><br>       "
Noller_1984_RevBiochem,Noller H F 1984 <i>Annual Review of Biochemistry</i> <b>53</b> 119<br><br>
Gutell_1985_NAR,"Gutell RR, Weiser B, Woese CR, and Noller HF 1985 <i>Prog. Nucleic Acids Res. Mol. Biol.</i> <b>32</b> 155<br><br>"
Gutell_1988_NAR,Gutell R R and Fox G E 1988 <i>Nucleic Acids Research</i> <b>16</b> R175<br><br>
Gutell_1994_MicroRev,"Gutell R R, Larsen N and Woese C R 1994 <i>Microbiol Rev</i> <b>58</b> 10<br><br>"
Cannone_2002_BMCBioinf,"Cannone J J, Subramanian S, Schnare M N, Collett J R, D'Souza L M, Du Y, Feng B, Lin N, Madabusi L V, Muller K M, Pande N, Shang Z, Yu N and Gutell R R 2002 <i>BMC Bioinformatics</i> <b>3</b> 2<br><br>"
Ben-Shem_2010_Science,"Ben-Shem A, Jenner L, Yusupova G and Yusupov M 2010 <i>Science</i> <b>330</b> 1203<br><br>"
Anger_2013_Nature,"Anger, A. M.; Armache, J. P.; Berninghausen, O.; Habeck, M.; Subklewe, M.; Wilson, D. N.; Beckmann, R.. <i>Nature</i> <b>2013</b>, 497 (7447), 80-5."
Yusupov_2001_Science,"Yusupov M M, Yusupova G Z, Baucom A, Lieberman K, Earnest T N, Cate J H and Noller H F 2001 <i>Science</i> <b>292</b> 883<br><br>"
Ban_2000_Science,"Ban N, Nissen P, Hansen J, Moore P B and Steitz T A 2000 <i>Science</i> <b>289</b> 905<br><br>  "
Dunkle_2011_Science,"Dunkle J A, Wang L Y, Feldman M B, Pulk A, Chen V B, Kapral G J, Noeske J, Richardson J S, Blanchard S C and Cate J H D 2011 <i>Science</i> <b>332</b>981<br><br>"
Ben-Shem_2011_Science,"Ben-Shem A, de Loubresse N G, Melnikov S, Jenner L, Yusupova G and Yusupov M 2011 <i>Science</i> <b>334</b> 1524<br><br>"
Pruesse_2012_Bioinformatics,"Pruesse E, Peplies J and Glockner F O 2012 <i>Bioinformatics</i> <b>28</b> 1823<br><br>"
Sarver_2008_MathBiol,"Sarver M, Zirbel C L, Stombaugh J, Mokdad A and Leontis N B 2008 <i>J Math Biol</i> <b>56</b> 215<br><br>"
