StructureName,MoleculeName,ChainName
4V8P,26S,A1
4V8P,5p8S,B2
4V8P,5S,B3
4V8P,eL37,AA
4V8P,eL39,AB
4V8P,el42,AC
4V8P,eL6,AE
4V8P,eL14,AF
4V8P,eL30,AG
4V8P,eL33,AH
4V8P,eIF6,AJ
4V8P,eL40,AK
4V8P,eL34,AL
4V8P,eL22,AM
4V8P,el27,AN
4V8P,eL28,AO
4V8P,eL38,AP
4V8P,eL36,AQ
4V8P,eL29,AT
4V8P,eL13,AU
4V8P,uL2,BA
4V8P,uL3,BB
4V8P,uL5,BD
4V8P,uL6,BE
4V8P,eL6,BF
4V8P,uL10,BG
4V8P,uL16,BH
4V8P,uL13,BI
4V8P,uL14,BJ
4V8P,uL15,BK
4V8P,eL15,BL
4V8P,uL18,BM
4V8P,eL18,BN
4V8P,el19,BO
4V8P,eL21,BP
4V8P,uL22,BQ
4V8P,uL23,BR
4V8P,uL24,BS
4V8P,eL24,BT
4V8P,uL29,BU
4V8P,uL30,BV
4V8P,eL31,BW
4V8P,eL32,BX
4V8P,eL43,BY
