StructureName,MoleculeName,ChainName
1VY4,16S,AA
1VY4,23S,BA
1VY4,5S,BB
1VY4,uS2,AB
1VY4,uS3,AC
1VY4,uS4,AD
1VY4,uS5,AE
1VY4,bS6,AF
1VY4,uS7,AG
1VY4,uS8,AH
1VY4,uS9,AI
1VY4,uS10,AJ
1VY4,uS11,AK
1VY4,uS12,AL
1VY4,uS13,AM
1VY4,uS14,AN
1VY4,uS15,AO
1VY4,bS16,AP
1VY4,uS17,AQ
1VY4,bS18,AR
1VY4,uS19,AS
1VY4,bS20,AT
1VY4,Thx,AU
1VY4,uL2,BD
1VY4,uL3,BE
1VY4,uL4,BF
1VY4,uL5,BG
1VY4,uL6,BH
1VY4,bL9,BI
1VY4,uL13,BN
1VY4,uL14,BO
1VY4,uL15,BP
1VY4,uL16,BQ
1VY4,bL17,BR
1VY4,uL18,BS
1VY4,bL19,BT
1VY4,bL20,BU
1VY4,bL21,BV
1VY4,uL22,BW
1VY4,uL23,BX
1VY4,uL24,BY
1VY4,bL25,BZ
1VY4,bL27,B0
1VY4,bL28,B1
1VY4,uL29,B2
1VY4,uL30,B3
1VY4,bL31,B4
1VY4,bL32,B5
1VY4,bL33,B6
1VY4,bL34,B7
1VY4,bL35,B8
1VY4,bL36,B9
1VY4,uS4,AD
